,"('prior_s_i1', 0)","('prior_s_i0', 0)","('prior_l_g2', 0)","('prior_l_g1', 0)","('prior_l_g0', 0)","('prior_i', 0)","('i', 0)","('s', 0)","('prior_g_d1i1', 0)","('prior_g_d1i0', 0)","('prior_g_d0i1', 0)","('prior_g_d0i0', 0)","('prior_d', 0)","('d', 0)","('g', 0)","('l', 0)"
0,0.8148497667721775,0.08504495100860818,0.045520156432878066,0.611933175473785,0.8999616558286071,0.3150931360695356,0,1,[0.55446225 0.30770577 0.13783198],[0.06376966 0.24309724 0.6931331 ],[0.89255191 0.07259916 0.03484893],[0.24025615 0.43559581 0.32414804],0.3800055196769196,1,2,0
1,0.7117334820561049,0.08256592963177795,0.04738443370911424,0.640805402990334,0.904308934073154,0.289891673116089,0,1,[0.56684895 0.29212696 0.14102409],[0.05863351 0.29524109 0.6461254 ],[0.86709997 0.11463758 0.01826245],[0.29303652 0.34636314 0.36060034],0.3795031808882796,1,2,0
2,0.7411992455574092,0.07597842383659327,0.036527934253811026,0.613727113983343,0.8923603616579566,0.3541745519938707,0,1,[0.46381317 0.3365766  0.19961024],[0.03112568 0.27922077 0.68965355],[0.90779902 0.08502117 0.0071798 ],[0.19277295 0.49865266 0.30857439],0.37373125052932793,1,2,0
3,0.7485901120026751,0.05446396638111672,0.07728741846308791,0.5635720981332228,0.8956507598017699,0.2865169438087418,0,1,[0.44778086 0.36206064 0.1901585 ],[0.07827681 0.26720503 0.65451816],[0.8145232  0.14505939 0.04041741],[0.22665516 0.48262102 0.29072382],0.4415486344077964,1,2,0
4,0.7439341380895844,0.08424769349396476,0.027748048440184074,0.5689720502557153,0.8935026120611832,0.33879828619121094,0,1,[0.42326374 0.35522044 0.22151581],[0.05435245 0.33662228 0.60902527],[0.88406769 0.08901823 0.02691407],[0.26955079 0.46338393 0.26706528],0.39913280957242653,1,2,0
5,0.7261716557761144,0.07261967248964377,0.02638765832892718,0.6427330825217745,0.9210366843767696,0.32581232300029067,0,1,[0.54129622 0.21684682 0.24185696],[0.11037326 0.32300293 0.56662381],[0.85039142 0.13513604 0.01447254],[0.26204257 0.49205604 0.24590139],0.40641368374299297,1,2,0
6,0.755292643802406,0.06016454445026232,0.022898799703915722,0.6153337984968164,0.9146426156366954,0.3495765486945769,0,1,[0.57524643 0.32981778 0.09493579],[0.05071832 0.30531429 0.64396738],[0.86893884 0.09026438 0.04079679],[0.31708038 0.38838226 0.29453737],0.40961396526574806,1,2,0
7,0.7781918224811636,0.07139121125481675,0.04689705938198742,0.6757314406269891,0.8650183435313108,0.31426887462998704,0,1,[0.60696363 0.27699262 0.11604375],[0.05975518 0.30731065 0.63293417],[0.91215061 0.06330648 0.0245429 ],[0.25276533 0.40984124 0.33739343],0.4326582435568556,1,2,0
8,0.7743317743268427,0.07554172707636596,0.07429790769306732,0.6156195489024546,0.8909991629559331,0.3353718155891188,0,1,[0.42838757 0.38623859 0.18537384],[0.08073772 0.3590309  0.56023138],[0.82910309 0.13593246 0.03496446],[0.26172326 0.43931263 0.29896411],0.43695403650192827,1,2,0
9,0.758623347466618,0.053312026181089885,0.04500988912446029,0.5749195234794594,0.8981788072688199,0.3192148862965558,0,1,[0.5251602  0.27808203 0.19675778],[0.07112247 0.28114043 0.6477371 ],[0.89388428 0.07987302 0.0262427 ],[0.2370633  0.46243862 0.30049808],0.41267701919161415,1,2,0
10,0.7829131531460706,0.07118525915136965,0.049130233830201965,0.6570495029789374,0.9363626424210427,0.3278817501494659,0,1,[0.54716257 0.35660935 0.09622808],[0.03428733 0.30812675 0.65758592],[0.77808615 0.20210995 0.0198039 ],[0.25217652 0.4759859  0.27183758],0.4128844063707896,1,2,0
11,0.7816219143696561,0.07436791147788223,0.04350042964119948,0.5847110758958108,0.9045085691778171,0.3319670228708697,0,1,[0.50266898 0.29377429 0.20355672],[0.08249423 0.32534828 0.59215749],[0.83296249 0.15404665 0.01299086],[0.2565359  0.44153652 0.30192759],0.3880801310746816,1,2,0
12,0.7907774353329012,0.05471306127967305,0.04424522488842224,0.5869565798302345,0.9269226129858616,0.28734972055003594,0,1,[0.5817877  0.23429858 0.18391372],[0.0502441  0.31475412 0.63500179],[0.90519845 0.08236156 0.01243999],[0.24808817 0.38338741 0.36852442],0.4249537411028441,1,2,0
13,0.7319955881991619,0.06120635350587825,0.03918305741299947,0.675975617275102,0.8811807580828304,0.30436241026482336,0,1,[0.50859883 0.40361733 0.08778383],[0.08845914 0.30622887 0.60531199],[0.82573502 0.14678411 0.02748087],[0.22244103 0.45109607 0.32646289],0.37557583545406387,1,2,0
14,0.7715336126875516,0.06477894719080067,0.032678994793379615,0.5477400475658648,0.876328761542483,0.28808654898607605,0,1,[0.36664671 0.44062671 0.19272657],[0.06311633 0.37213223 0.56475143],[0.88752485 0.08888342 0.02359172],[0.2637395  0.46559425 0.27066625],0.42756885421749696,1,2,0
15,0.7474223688457919,0.07964597590193641,0.08041602729817503,0.5603674608757274,0.9018429877188,0.34045029854168013,0,1,[0.42039654 0.46678842 0.11281504],[0.03034662 0.38057614 0.58907724],[0.87586925 0.10560677 0.01852399],[0.23718214 0.4299964  0.33282146],0.43281815433341925,1,2,0
