experiment_id,data_name,lion,tiger,leopard
"exp_2022_09_30_10","subject_id","00012","00013","00019"
"exp_2022_09_30_10","mask_status","mask_on","mask_on","mask_on"
"exp_2022_09_30_10","eeg_data_rest_state","ok","ok","ok"
"exp_2022_09_30_10","eeg_data_finger_tapping","ok","ok","ok"
"exp_2022_09_30_10","eeg_data_affective_task_individual","ok","ok","ok"
"exp_2022_09_30_10","eeg_data_affective_task_team","ok","ok","ok"
"exp_2022_09_30_10","eeg_data_ping_pong_competetive_0","ok","ok","ok"
"exp_2022_09_30_10","eeg_data_ping_pong_competetive_1","ok","ok","ok"
"exp_2022_09_30_10","eeg_data_ping_pong_cooperative_0","ok","ok","ok"
"exp_2022_09_30_10","eeg_data_hands_on_training","ok","ok","ok"
"exp_2022_09_30_10","eeg_data_saturn_a","experimenter_no_cap_on","ok","ok"
"exp_2022_09_30_10","eeg_data_saturn_b","misson_start_time_not_found","misson_start_time_not_found","misson_start_time_not_found"
"exp_2022_09_30_10","nirs_data_rest_state","ok","ok","ok"
"exp_2022_09_30_10","nirs_data_finger_tapping","ok","ok","ok"
"exp_2022_09_30_10","nirs_data_affective_task_individual","ok","ok","ok"
"exp_2022_09_30_10","nirs_data_affective_task_team","ok","ok","ok"
"exp_2022_09_30_10","nirs_data_ping_pong_competetive_0","ok","ok","ok"
"exp_2022_09_30_10","nirs_data_ping_pong_competetive_1","ok","ok","ok"
"exp_2022_09_30_10","nirs_data_ping_pong_cooperative_0","ok","ok","ok"
"exp_2022_09_30_10","nirs_data_hands_on_training","ok","ok","ok"
"exp_2022_09_30_10","nirs_data_saturn_a","experimenter_no_cap_on","ok","ok"
"exp_2022_09_30_10","nirs_data_saturn_b","misson_start_time_not_found","misson_start_time_not_found","misson_start_time_not_found"
"exp_2022_09_30_10","pupil_data_rest_state","ok","ok","ok"
"exp_2022_09_30_10","pupil_data_finger_tapping","ok","ok","ok"
"exp_2022_09_30_10","pupil_data_affective_task_individual","ok","ok","ok"
"exp_2022_09_30_10","pupil_data_affective_task_team","ok","ok","ok"
"exp_2022_09_30_10","pupil_data_ping_pong_competetive_0","ok","ok","ok"
"exp_2022_09_30_10","pupil_data_ping_pong_competetive_1","ok","ok","ok"
"exp_2022_09_30_10","pupil_data_ping_pong_cooperative_0","ok","ok","ok"
"exp_2022_09_30_10","pupil_data_hands_on_training","ok","ok","ok"
"exp_2022_09_30_10","pupil_data_saturn_a","experimenter_no_glasses_on","ok","ok"
"exp_2022_09_30_10","pupil_data_saturn_b","misson_start_time_not_found","misson_start_time_not_found","misson_start_time_not_found"

"exp_2022_10_04_09","subject_id","00011","00018","00020"
"exp_2022_10_04_09","mask_status","mask_on","mask_on","mask_on"
"exp_2022_10_04_09","eeg_data_rest_state","ok","ok","ok"
"exp_2022_10_04_09","eeg_data_finger_tapping","ok","ok","ok"
"exp_2022_10_04_09","eeg_data_affective_task_individual","ok","ok","ok"
"exp_2022_10_04_09","eeg_data_affective_task_team","ok","ok","ok"
"exp_2022_10_04_09","eeg_data_ping_pong_competetive_0","ok","ok","ok"
"exp_2022_10_04_09","eeg_data_ping_pong_competetive_1","ok","ok","ok"
"exp_2022_10_04_09","eeg_data_ping_pong_cooperative_0","ok","ok","ok"
"exp_2022_10_04_09","eeg_data_hands_on_training","ok","ok","ok"
"exp_2022_10_04_09","eeg_data_saturn_a","ok","ok","ok"
"exp_2022_10_04_09","eeg_data_saturn_b","misson_start_time_not_found","misson_start_time_not_found","misson_start_time_not_found"
"exp_2022_10_04_09","nirs_data_rest_state","ok","ok","ok"
"exp_2022_10_04_09","nirs_data_finger_tapping","ok","ok","ok"
"exp_2022_10_04_09","nirs_data_affective_task_individual","ok","ok","ok"
"exp_2022_10_04_09","nirs_data_affective_task_team","ok","ok","ok"
"exp_2022_10_04_09","nirs_data_ping_pong_competetive_0","ok","ok","ok"
